Title	Suburb	Address	Address 2	State	Postcode
Bingara Returned Servicemen's Club	BINGARA	46 - 50 Finch Street		NSW	2404
Brunswick Heads Bowling Club	BRUNSWICK HEADS	Old Pacific Highway		NSW	2483
Club Goonellabah	GOONELLABAH	Reserve Street		NSW	2480
Kingscliff Bowls Club Ltd	KINGSCLIFF	Marine Parade		NSW	2487
Macksville Ex-Services Club	MACKSVILLE	16 Cooper Street		NSW	2447
Murwillumbah Brothers Rugby League Football Club	MURWILLUMBAH	Dorothy Street		NSW	2484
Tenterfield Bowling Club Ltd	TENTERFIELD	Cnr Molesworth & Scott Street		NSW	2372
Tweed Heads Bowls Club Ltd	TWEED HEADS	Florence Street		NSW	2485
Alpha Golf Club Inc	ALPHA	Dryden St		QLD	4724
Ayr Golf Club Inc	AYR	Edward Street		QLD	4807
Bayside United Sports & Recreation Club Inc	LOTA	34 Andrew Street		QLD	4179
Boonah Golf Club Inc	BOONAH	Bruckner Hill Road		QLD	4310
Bribie Island R.S.L. & Citizens Memorial Club Inc	BRIBIE ISLAND	99 Toorbul Street		QLD	4507
The Brisbane Golf Club Inc	YEERONGPILLY	70 Tennyson Memorial Ave		QLD	4105
Carbrook Golf Club	CARBROOK	653 Redland Bay Road		QLD	4130
Cazaly's	CAIRNS	344 Mulgrave Road		QLD	4870
Cazaly's - Centrals Aussie Rules Club	CAIRNS	344 Mulgrave Road		QLD	4870
Cazaly's - Holloways Beach Afl	CAIRNS	344 Mulgrave Road		QLD	4870
Cazaly's - South's Cairns Afl	CAIRNS	344 Mulgrave Road		QLD	4870
CSI Club Southport	SOUTHPORT	154A Scarborough Street		QLD	4215
Collinsville Scottville Workers Club	COLLINSVILLE	17-19 Railway Rd		QLD	4804
Edge Hill Memorial Bowls Club Inc	EDGE HILL	181 Woodward Street		QLD	4870
Gatton RSL Services Club Inc	GATTON	46-52 Crescent Street		QLD	4343
Goodna Services Club	GOODNA	32 Woogaroo Street		QLD	4300
Innisfail RSL	INNISFAIL	18-28 Fitzgerald Esplanade		QLD	4860
Isis Club Inc	CHILDERS	46 Churchill Street		QLD	4660
Longreach RSL Memorial Services Club Inc	LONGREACH	34 Duck St		QLD	4730
Middle Green Sports Inc	GREENBANK	720-768 Middle Road		QLD	4124
Oakey RSL Club	OAKEY	76 Campbell Street		QLD	4401
